"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C107","0~CloneClass","L103","1","4","201","23.6471","0.228856","2","11.5","5.41176","1","0.0588235","1"
"C225","3~CloneClass","L103","1","4","108","12.7059","0.407407","2","11","5.17647","1","0.0588235","1"
"C278","6~CloneClass","L103","1","8","7","1.64706","18.2857","2","16","30.1176","1","0.117647","0"
"C314","9~CloneClass","L103","1","3","484","85.4118","0.0867769","3","14","7.41176","1","0.0588235","2"
"C355","13~CloneClass","L103","1","2","287","33.7647","0.0836237","2","12","2.82353","1","0.0588235","1"
"C379","16~CloneClass","L103","1","2","107","12.5882","0.261682","2","14","3.29412","1","0.0588235","1"
"C398","19~CloneClass","L103","1","4","75","8.82353","0.533333","2","10","4.70588","1","0.0588235","0"
"C399","22~CloneClass","L103","1","4","173","40.7059","0.323699","4","14","13.1765","1","0.0588235","2"
"C406","27~CloneClass","L103","1","2","203","214.941","0.0985222","2","10","21.1765","1","0.529412","2"
"C455","30~CloneClass","L103","1","4","385","90.5882","0.103896","4","10","9.41177","1","0.0588235","2"
"C457","35~CloneClass","L103","1","4","130","15.2941","0.338462","2","11","5.17647","1","0.0588235","1"
"C458","38~CloneClass","L103","1","2","147","17.2941","0.163265","2","12","2.82353","1","0.0588235","1"
"C461","41~CloneClass","L103","1","2","88","93.1765","0.227273","2","10","21.1765","1","0.529412","1"
"C463","44~CloneClass","L103","1","2","133","15.6471","0.180451","2","12","2.82353","1","0.0588235","1"
"C465","47~CloneClass","L103","1","4","87","10.2353","0.482759","2","10.5","4.94118","1","0.0588235","0"
"C468","50~CloneClass","L103","1","2","231","27.1765","0.103896","2","12","2.82353","1","0.0588235","1"
"C469","53~CloneClass","L103","1","2","283","33.2941","0.0777385","2","11","2.58824","1","0.0588235","1"
"C476","56~CloneClass","L103","1","3","172","30.3529","0.174419","3","10","5.29412","1","0.0588235","2"
"C478","60~CloneClass","L103","1","7","540","222.353","0.181481","7","14","40.3529","1","0.0588235","2"
"C480","68~CloneClass","L103","1","2","71","8.35294","0.507042","2","18","4.23529","1","0.0588235","0"
"C482","71~CloneClass","L103","1","4","125","29.4118","0.352","4","11","10.3529","1","0.0588235","2"
"C490","76~CloneClass","L103","1","4","176","20.7059","0.272727","2","12","5.64706","1","0.0588235","1"
"C498","79~CloneClass","L103","1","8","13","6.11765","6.15385","2","10","37.6471","1","0.235294","1"
"C506","82~CloneClass","L103","1","3","130","22.9412","0.323077","3","14","7.41176","1","0.0588235","2"
"C508","86~CloneClass","L103","1","12","59","13.8824","3.25424","4","16","45.1765","1","0.0588235","2"
"C525","91~CloneClass","L103","1","2","86","10.1176","0.325581","2","14","3.29412","1","0.0588235","0"
"C530","94~CloneClass","L103","1","2","25","2.94118","1.04","2","13","3.05882","1","0.0588235","0"
"C533","97~CloneClass","L103","1","6","5","0.588235","12","2","10","7.05882","1","0.0588235","0"
"C554","100~CloneClass","L103","1","10","33","3.88235","4.54545","2","15","17.6471","1","0.0588235","0"
"C568","103~CloneClass","L103","1","2","5","0.588235","4","2","10","2.35294","1","0.0588235","0"
"C569","106~CloneClass","L103","1","4","49","5.76471","0.816327","2","10","4.70588","1","0.0588235","0"
"C577","109~CloneClass","L103","1","2","39","4.58824","0.564103","2","11","2.58824","1","0.0588235","0"
"C583","112~CloneClass","L103","1","2","174","184.235","0.206897","2","18","38.1176","1","0.529412","2"
