"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0347332","33","128","82","0.0213852","0.0288131","972","896","0","0","0","0","0","0.190979","0.193375","7455","796","3372","0","0","0","0","0","0","0","0","0","2","0","0","31097","45452","965","1418","91","8","468","330","42","4308","9363","321","1059","1","41","64","3442","33","0","167","14143","812","3233","101","0","2163","822","0","460","0","411","0","259","0","0","0","26","0","71","0","0","0","0"
"L104","junit","junit","L100","L103","0.0240552","5","7","7","0.0169713","0.0231429","91","81","0","0","0","0","0","0.405204","0.239296","1101","218","320","0","0","0","0","0","0","0","0","0","6","0","0","3500","5362","83","105","22","1","75","27","5","592","1445","10","68","0","5","10","497","19","0","46","1520","72","483","23","0","347","65","0","65","0","41","0","54","0","0","0","21","0","8","0","0","0","0"
"L2952","org","org","L100","L103","0.0360532","31","121","75","0.0219756","0.0295322","881","815","0","0","0","0","0","0.159229","0.187152","6354","578","3052","0","0","0","0","0","0","0","0","0","1","0","0","27597","40090","882","1313","79","7","393","303","37","3716","7918","311","991","1","36","52","2945","14","0","121","12623","740","2750","78","0","1816","757","0","395","0","370","0","205","0","0","0","5","0","63","0","0","0","0"
"L105","extensions","junit.extensions","L104","L103","0","0","0","0","0","0","0","0","0.217391","0.207101","35","5","18","0.217391","0.207101","35","5","18","134","198","3","6","0","1","0","24","0","0","21","1","134","198","3","6","10","0","5","1","0","24","41","0","4","0","0","0","21","1","0","0","62","1","7","0","0","0","1","0","2","0","3","0","0","0","0","0","2","0","0","0","0","0","0"
"L284","framework","junit.framework","L104","L103","0","0","0","0","0","0","0","0","0.823864","0.424187","691","145","31","0.823864","0.424187","691","145","31","938","1855","29","14","0","12","3","190","0","0","166","3","938","1855","29","14","10","0","15","12","3","190","358","0","11","0","3","0","166","3","0","7","165","10","48","19","0","2","22","0","13","0","5","0","9","0","0","0","13","0","1","0","0","0","0"
"L1402","runner","junit.runner","L104","L103","0","0","0","0","0","0","0","0","0.413793","0.192661","63","12","17","0.413793","0.192661","63","12","17","264","376","7","2","0","7","1","38","3","0","26","3","264","376","7","2","10","0","4","7","1","38","115","3","2","0","1","0","26","3","0","12","71","7","23","1","0","16","8","0","5","0","0","0","6","0","0","0","5","0","2","0","0","0","0"
"L1638","textui","junit.textui","L104","L103","0","0","0","0","0","0","0","0","0.521739","0.250847","74","12","11","0.521739","0.250847","74","12","11","221","348","6","2","0","1","0","35","3","0","21","1","221","348","6","2","10","0","3","1","0","35","104","3","2","0","0","0","21","1","0","8","54","11","16","1","0","13","6","0","7","0","4","0","3","0","0","0","1","0","1","0","0","0","0"
"L1814","samples","junit.samples","L104","L103","0.0628386","2","2","2","0","0","0","0","0.1875","0.246377","34","3","13","0.207792","0.195122","104","16","61","104","165","5","3","0","0","0","15","1","1","13","2","429","634","14","6","11","0","9","0","1","78","200","1","6","0","1","1","70","3","0","3","184","6","77","2","0","59","9","0","13","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"L2099","tests","junit.tests","L104","L103","0.035788","3","5","5","0","0","0","0","0.5","0.285714","10","2","2","0.133333","0.0813107","134","28","182","25","42","1","2","0","0","0","3","1","3","2","0","1514","1951","24","75","13","1","39","6","0","227","627","3","43","0","0","3","193","8","0","16","984","37","312","0","0","257","19","0","25","0","29","0","31","0","0","0","0","0","4","0","0","0","0"
"L2953","junit","org.junit","L2952","L103","0.0360532","31","121","75","0","0","0","0","0.9","0.640082","1252","90","10","0.159229","0.187152","6354","578","3052","704","2133","19","9","0","3","0","116","3","10","90","0","27597","40090","882","1313","79","7","393","303","37","3716","7918","311","991","1","36","51","2945","14","0","121","12623","740","2750","78","0","1816","757","0","395","0","370","0","205","0","0","0","5","0","63","0","0","0","0"
