"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L2980","After","org.junit.After","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\After.java","37","1","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","1","0.875","28","28","1","0","0.875","28","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2995","AfterClass","org.junit.AfterClass","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\AfterClass.java","39","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","1","0.885714","31","31","1","0","0.885714","31","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3497","Before","org.junit.Before","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Before.java","35","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","1","0.870968","27","27","1","0","0.870968","27","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3499","BeforeClass","org.junit.BeforeClass","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\BeforeClass.java","34","1","37","2","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","1","0.866667","26","26","1","0","0.866667","26","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3501","ClassRule","org.junit.ClassRule","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\ClassRule.java","107","1","118","2","0","0","0","0","0","0","0","0","0","0","0","1","1","20","1","0","1","1","0.954128","104","104","1","0","0.954128","104","0","0","0","0","0","5","12","0","0","0","0","1","0","0","0","1","0","0","0","0","5","12","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5610","FixMethodOrder","org.junit.FixMethodOrder","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\FixMethodOrder.java","34","1","41","2","0","0","0","0","0","0","0","0","0","0","0","1","1","14","1","0","1","1","0.84375","27","27","1","0","0.84375","27","0","0","0","0","0","5","8","0","0","0","0","1","0","0","0","1","0","0","0","0","5","8","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L722","Ignore","org.junit.Ignore","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Ignore.java","33","1","40","2","0","0","0","0","0","0","0","0","0","0","0","1","0","25","0","0","1","1","0.848485","28","28","1","0","0.848485","28","0","0","1","1","0","5","8","0","0","0","0","1","0","0","0","1","0","0","0","0","5","8","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4031","Rule","org.junit.Rule","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Rule.java","88","1","101","2","0","0","0","0","0","0","0","0","0","0","0","1","0","28","1","0","1","1","0.934066","85","85","1","0","0.934066","85","0","0","0","0","0","6","14","1","0","1","0","1","0","0","0","1","0","0","0","0","6","14","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2799","Test","org.junit.Test","L2959","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Test.java","64","1","98","2","0","0","0","0","0","0","0","0","0","0","0","2","1","526","4","0","2","1","0.924051","73","73","1","0","0.873563","76","0","0","0","0","0","6","29","0","0","0","0","2","0","0","0","2","0","0","0","0","11","35","1","0","1","0","3","0","0","0","3","0","0","0","0","0","1","2","0","2","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L12063","OrderWith","org.junit.runner.OrderWith","L11111","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runner\OrderWith.java","19","1","28","2","0","0","0","0","0","0","0","0","0","0","0","1","4","11","1","0","1","1","0.588235","10","10","1","0","0.588235","10","0","0","0","0","0","7","10","0","0","0","0","1","0","0","0","1","0","0","0","0","7","10","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3935","RunWith","org.junit.runner.RunWith","L11111","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runner\RunWith.java","28","1","36","2","0","0","0","0","0","0","0","0","0","0","0","1","1","224","1","0","1","1","0.785714","22","22","1","0","0.785714","22","0","0","0","0","0","6","9","0","0","0","0","1","0","0","0","1","0","0","0","0","6","9","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3801","ValidateWith","org.junit.validator.ValidateWith","L14242","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\validator\ValidateWith.java","17","1","22","2","0","0","0","0","0","0","0","0","0","0","0","1","1","8","1","0","1","1","0.571429","8","8","1","0","0.571429","8","0","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3726","Category","org.junit.experimental.categories.Category","L3583","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\categories\Category.java","43","1","48","2","0","0","0","0","0","0","0","0","0","0","0","1","2","35","1","0","1","1","0.85","34","34","1","0","0.85","34","0","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4958","DataPoint","org.junit.experimental.theories.DataPoint","L4947","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\DataPoint.java","51","1","56","2","0","0","0","0","0","0","0","0","0","0","0","2","0","17","3","0","2","1","0.87234","41","41","1","0","0.87234","41","0","0","0","0","0","6","6","0","0","0","0","2","0","0","0","2","0","0","0","0","6","6","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4963","DataPoints","org.junit.experimental.theories.DataPoints","L4947","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\DataPoints.java","58","1","64","2","0","0","0","0","0","0","0","0","0","0","0","2","0","18","3","0","2","1","0.888889","48","48","1","0","0.888889","48","0","0","0","0","0","6","7","0","0","0","0","2","0","0","0","2","0","0","0","0","6","7","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4967","FromDataPoints","org.junit.experimental.theories.FromDataPoints","L4947","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\FromDataPoints.java","49","1","54","2","0","0","0","0","0","0","0","0","0","0","0","1","2","3","4","0","1","1","0.866667","39","39","1","0","0.866667","39","0","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4971","ParametersSuppliedBy","org.junit.experimental.theories.ParametersSuppliedBy","L4947","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\ParametersSuppliedBy.java","42","1","48","2","0","0","0","0","0","0","0","0","0","0","0","1","1","8","2","0","1","1","0.864865","32","32","1","0","0.864865","32","0","0","0","0","0","5","7","0","0","0","0","1","0","0","0","1","0","0","0","0","5","7","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5498","Theory","org.junit.experimental.theories.Theory","L4947","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\Theory.java","14","1","18","2","0","0","0","0","0","0","0","0","0","0","0","1","0","73","1","0","1","1","0.5","5","5","1","0","0.5","5","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3973","Parameterized$Parameters","org.junit.runners.Parameterized$Parameters","L3964","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\Parameterized.java","211","5","233","6","0","0","0","0","0","0","0","0","0","0","0","1","0","37","1","0","1","1","0.821429","23","23","1","0","0.821429","23","0","0","0","0","0","5","23","0","0","0","0","1","0","0","0","1","0","0","0","0","5","23","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3979","Parameterized$Parameter","org.junit.runners.Parameterized$Parameter","L3964","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\Parameterized.java","242","5","254","6","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","1","1","0.75","15","15","1","0","0.75","15","0","0","0","0","0","5","13","0","0","0","0","1","0","0","0","1","0","0","0","0","5","13","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13477","Parameterized$UseParametersRunnerFactory","org.junit.runners.Parameterized$UseParametersRunnerFactory","L3964","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\Parameterized.java","262","5","271","6","0","0","0","0","0","0","0","0","0","0","0","1","2","3","1","0","1","1","0.625","10","10","1","0","0.625","10","0","0","0","0","0","6","10","0","0","0","0","1","0","0","0","1","0","0","0","0","6","10","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
