"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1894","98~CloneInstance","C531","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","603","5","612","6","1","3","2","10","1","0"
"C1895","99~CloneInstance","C531","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","614","5","623","6","1","3","2","10","1","0"
"C1684","43~CloneInstance","C459","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\samples\money\MoneyTest.java","18","5","27","6","1","1","20","10","1","0"
"C1547","29~CloneInstance","C405","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\samples\money\MoneyTest.java","77","12","86","6","1","1","84","10","1","0"
"C1875","92~CloneInstance","C523","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\tests\extensions\ExtensionTest.java","71","9","84","40","1","1","37","14","1","0"
"C1876","93~CloneInstance","C523","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\tests\extensions\ExtensionTest.java","88","9","101","35","1","1","48","14","1","0"
"C1888","95~CloneInstance","C528","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\tests\framework\TestCaseTest.java","63","5","75","6","1","1","12","13","1","0"
"C1889","96~CloneInstance","C528","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\tests\framework\TestCaseTest.java","102","5","114","6","1","1","12","13","1","0"
"C2016","114~CloneInstance","C580","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\junit\tests\runner\TextFeedbackTest.java","98","9","114","51","1","1","83","17","1","0"
"C1737","61~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","52","5","65","6","1","1","77","14","1","0"
"C1738","62~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","88","5","101","6","1","1","77","14","1","0"
"C1739","63~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","103","5","116","6","1","1","77","14","1","0"
"C1740","64~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","118","5","131","6","1","1","77","14","1","0"
"C1741","65~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","133","5","146","6","1","1","77","14","1","0"
"C1742","66~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","148","5","161","6","1","1","77","14","1","0"
"C1743","67~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\internal\StackTracesTest.java","163","5","176","6","1","1","77","14","1","0"
"C1732","57~CloneInstance","C474","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\rules\StopwatchTest.java","168","5","177","6","1","1","57","10","1","0"
"C1733","58~CloneInstance","C474","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\rules\StopwatchTest.java","179","5","188","6","1","1","57","10","1","0"
"C1734","59~CloneInstance","C474","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\rules\StopwatchTest.java","190","5","199","6","1","1","57","10","1","0"
"C1687","45~CloneInstance","C461","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\rules\TimeoutRuleTest.java","126","5","137","6","1","1","66","12","1","0"
"C1688","46~CloneInstance","C461","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\rules\TimeoutRuleTest.java","139","5","150","6","1","1","66","12","1","0"
"C1753","69~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\FilterOptionIntegrationTest.java","51","5","68","6","1","1","35","18","1","0"
"C1754","70~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\FilterOptionIntegrationTest.java","70","5","87","6","1","1","35","18","1","0"
"C1677","39~CloneInstance","C456","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\JUnitCommandLineParseResultTest.java","69","5","80","6","1","1","73","12","1","0"
"C1678","40~CloneInstance","C456","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\JUnitCommandLineParseResultTest.java","119","5","130","6","1","1","73","12","1","0"
"C1949","101~CloneInstance","C551","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\Theories.java","88","5","102","6","1","5","16","15","1","0"
"C1950","102~CloneInstance","C551","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\Theories.java","104","5","118","6","1","5","16","15","1","0"
"C1757","72~CloneInstance","C480","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\notification\RunNotifierTest.java","48","5","58","6","1","1","31","11","1","0"
"C1758","73~CloneInstance","C480","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\notification\RunNotifierTest.java","60","5","70","6","1","1","31","11","1","0"
"C1759","74~CloneInstance","C480","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\notification\RunNotifierTest.java","72","5","82","6","1","1","31","11","1","0"
"C1760","75~CloneInstance","C480","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\runner\notification\RunNotifierTest.java","84","5","94","6","1","1","31","11","1","0"
"C1085","8~CloneInstance","C277","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\model\FrameworkField.java","18","5","33","6","1","4","3","16","1","0"
"C1084","7~CloneInstance","C277","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\model\FrameworkMethod.java","25","5","40","6","1","4","3","16","1","0"
"C1998","110~CloneInstance","C574","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\model\TestClass.java","226","5","236","6","1","1","19","11","1","0"
"C1999","111~CloneInstance","C574","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\model\TestClass.java","260","5","270","6","1","1","19","11","1","0"
"C1800","81~CloneInstance","C496","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\model\TestClass.java","317","9","326","43","1","4","5","10","1","0"
"C1799","80~CloneInstance","C496","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\runners\parameterized\TestWithParameters.java","57","9","66","61","1","4","7","10","1","0"
"C1683","42~CloneInstance","C459","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\samples\money\MoneyTest.java","27","5","36","6","1","1","67","10","1","0"
"C1546","28~CloneInstance","C405","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\samples\money\MoneyTest.java","95","12","104","6","1","1","118","10","1","1"
"C1691","48~CloneInstance","C463","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\AssertionTest.java","372","5","381","6","1","2","49","10","1","0"
"C1524","20~CloneInstance","C397","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\AssertionTest.java","537","5","546","6","1","2","37","10","1","0"
"C1692","49~CloneInstance","C463","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\AssertionTest.java","572","5","582","6","1","2","37","11","1","0"
"C1525","21~CloneInstance","C397","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\AssertionTest.java","584","5","593","6","1","2","37","10","1","0"
"C932","4~CloneInstance","C224","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\AssertionTest.java","943","9","953","60","1","2","54","11","1","0"
"C933","5~CloneInstance","C224","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\AssertionTest.java","961","9","971","60","1","2","53","11","1","0"
"C1675","36~CloneInstance","C455","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\MultipleFailureExceptionTest.java","36","5","46","6","1","2","65","11","1","0"
"C1676","37~CloneInstance","C455","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\assertion\MultipleFailureExceptionTest.java","48","5","58","6","1","2","64","11","1","0"
"C1469","17~CloneInstance","C378","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\junit3compatibility\ForwardCompatibilityPrintingTest.java","32","9","45","36","1","1","53","14","1","0"
"C2015","113~CloneInstance","C580","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\junit3compatibility\ForwardCompatibilityPrintingTest.java","36","9","54","51","1","1","90","19","1","0"
"C1470","18~CloneInstance","C378","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\junit3compatibility\ForwardCompatibilityPrintingTest.java","65","9","78","36","1","1","53","14","1","0"
"C1981","107~CloneInstance","C566","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\internal\AllMembersSupplier.java","178","5","187","6","1","2","24","10","1","0"
"C1982","108~CloneInstance","C566","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\internal\AllMembersSupplier.java","189","5","198","6","1","2","24","10","1","0"
"C1822","87~CloneInstance","C506","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\internal\SpecificDataPointsSupplier.java","22","5","37","6","1","3","11","16","1","0"
"C1823","88~CloneInstance","C506","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\internal\SpecificDataPointsSupplier.java","39","5","54","6","1","3","11","16","1","0"
"C1824","89~CloneInstance","C506","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\internal\SpecificDataPointsSupplier.java","56","5","71","6","1","3","18","16","1","0"
"C1825","90~CloneInstance","C506","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\experimental\theories\internal\SpecificDataPointsSupplier.java","73","5","88","6","1","3","18","16","1","0"
