"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1926","107~CloneInstance","C538","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\Assert.java","603","5","612","6","1","3","2","10","1","0"
"C1927","108~CloneInstance","C538","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\Assert.java","614","5","623","6","1","3","2","10","1","0"
"C1719","50~CloneInstance","C466","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\samples\money\MoneyTest.java","18","5","27","6","1","1","20","10","1","0"
"C1578","36~CloneInstance","C410","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\samples\money\MoneyTest.java","77","12","86","6","1","1","84","10","1","0"
"C1907","101~CloneInstance","C530","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\tests\extensions\ExtensionTest.java","71","9","84","40","1","1","37","14","1","0"
"C1908","102~CloneInstance","C530","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\tests\extensions\ExtensionTest.java","88","9","101","35","1","1","48","14","1","0"
"C1920","104~CloneInstance","C535","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\tests\framework\TestCaseTest.java","63","5","75","6","1","1","12","13","1","0"
"C1921","105~CloneInstance","C535","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\tests\framework\TestCaseTest.java","102","5","114","6","1","1","12","13","1","0"
"C2052","123~CloneInstance","C589","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\tests\runner\TextFeedbackTest.java","98","9","114","51","1","1","83","17","1","0"
"C765","4~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","48","9","57","72","1","1","67","10","1","0"
"C1775","72~CloneInstance","C484","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","45","5","58","6","1","1","80","14","1","0"
"C766","5~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","84","9","93","72","1","1","67","10","1","0"
"C1776","73~CloneInstance","C484","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","81","5","94","6","1","1","80","14","1","0"
"C767","6~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","99","9","108","72","1","1","67","10","1","0"
"C1768","65~CloneInstance","C481","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","96","5","109","6","1","1","90","14","1","0"
"C768","7~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","114","9","123","72","1","1","67","10","1","0"
"C1769","66~CloneInstance","C481","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","111","5","124","6","1","1","90","14","1","0"
"C769","8~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","129","9","138","72","1","1","67","10","1","0"
"C1777","74~CloneInstance","C484","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","126","5","139","6","1","1","80","14","1","0"
"C770","9~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","144","9","153","72","1","1","67","10","1","0"
"C1778","75~CloneInstance","C484","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","141","5","154","6","1","1","80","14","1","0"
"C771","10~CloneInstance","C157","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","159","9","168","72","1","1","67","10","1","0"
"C1779","76~CloneInstance","C484","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\internal\StackTracesTest.java","156","5","169","6","1","1","80","14","1","0"
"C1770","68~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\rules\StopwatchTest.java","168","5","177","6","1","1","57","10","1","0"
"C1771","69~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\rules\StopwatchTest.java","179","5","188","6","1","1","57","10","1","0"
"C1772","70~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\rules\StopwatchTest.java","190","5","199","6","1","1","57","10","1","0"
"C1723","53~CloneInstance","C468","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\rules\TimeoutRuleTest.java","126","5","137","6","1","1","66","12","1","0"
"C1724","54~CloneInstance","C468","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\rules\TimeoutRuleTest.java","139","5","150","6","1","1","66","12","1","0"
"C1787","78~CloneInstance","C486","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\FilterOptionIntegrationTest.java","51","5","68","6","1","1","35","18","1","0"
"C1788","79~CloneInstance","C486","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\FilterOptionIntegrationTest.java","70","5","87","6","1","1","35","18","1","0"
"C1713","47~CloneInstance","C463","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\JUnitCommandLineParseResultTest.java","69","5","80","6","1","1","73","12","1","0"
"C1714","48~CloneInstance","C463","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\JUnitCommandLineParseResultTest.java","119","5","130","6","1","1","73","12","1","0"
"C1985","110~CloneInstance","C560","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\experimental\theories\Theories.java","88","5","102","6","1","5","16","15","1","0"
"C1986","111~CloneInstance","C560","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\experimental\theories\Theories.java","104","5","118","6","1","5","16","15","1","0"
"C1791","81~CloneInstance","C488","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\notification\RunNotifierTest.java","48","5","58","6","1","1","31","11","1","0"
"C1792","82~CloneInstance","C488","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\notification\RunNotifierTest.java","60","5","70","6","1","1","31","11","1","0"
"C1793","83~CloneInstance","C488","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\notification\RunNotifierTest.java","72","5","82","6","1","1","31","11","1","0"
"C1794","84~CloneInstance","C488","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\notification\RunNotifierTest.java","84","5","94","6","1","1","31","11","1","0"
"C1132","16~CloneInstance","C283","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\model\FrameworkField.java","22","5","37","6","1","4","3","16","1","0"
"C1131","15~CloneInstance","C283","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\model\FrameworkMethod.java","25","5","40","6","1","4","3","16","1","0"
"C2034","119~CloneInstance","C583","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\model\TestClass.java","226","5","236","6","1","1","19","11","1","0"
"C2035","120~CloneInstance","C583","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\model\TestClass.java","260","5","270","6","1","1","19","11","1","0"
"C1831","89~CloneInstance","C503","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\model\TestClass.java","317","9","326","43","1","4","5","10","1","0"
"C1832","90~CloneInstance","C503","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\parameterized\TestWithParameters.java","57","9","66","61","1","4","7","10","1","0"
"C1720","51~CloneInstance","C466","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\samples\money\MoneyTest.java","27","5","36","6","1","1","67","10","1","0"
"C1579","37~CloneInstance","C410","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\samples\money\MoneyTest.java","95","12","104","6","1","1","118","10","1","1"
"C1727","56~CloneInstance","C470","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\tests\assertion\AssertionTest.java","372","5","381","6","1","2","49","10","1","0"
"C1556","28~CloneInstance","C402","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\tests\assertion\AssertionTest.java","537","5","546","6","1","2","37","10","1","0"
"C1728","57~CloneInstance","C470","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\tests\assertion\AssertionTest.java","572","5","582","6","1","2","37","11","1","0"
"C1557","29~CloneInstance","C402","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\tests\assertion\AssertionTest.java","584","5","593","6","1","2","37","10","1","0"
"C975","12~CloneInstance","C228","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\tests\assertion\AssertionTest.java","943","9","953","60","1","2","54","11","1","0"
