"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L130","ActiveTestSuite()","junit.extensions.ActiveTestSuite.<init>()V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","17","5","18","6","0","0","0","0","0","0","0","0","4.75489","1.5","12","5.24148","4","4","0.666667","8","148.728","86.9754","138.97","81.269","1","0","0","1","1","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L133","ActiveTestSuite(Class<? extends TestCase> theClass)","junit.extensions.ActiveTestSuite.<init>(Ljava/lang/Class;)V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","20","5","22","6","0","0","0","0","0","0","0","0","21.6515","5.25","166.421","30.2556","10","9","9.24562","31.6992","135","78.9472","119.164","69.6868","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","ActiveTestSuite(String name)","junit.extensions.ActiveTestSuite.<init>(Ljava/lang/String;)V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","24","5","26","6","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","ActiveTestSuite(Class<? extends TestCase> theClass, String name)","junit.extensions.ActiveTestSuite.<init>(Ljava/lang/Class;Ljava/lang/String;)V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","28","5","30","6","0","0","0","0","0","0","0","0","28.7549","6.66667","299.817","44.7959","13","11","16.6565","44.9726","133.181","77.8836","116.541","68.1524","1","0","0","0","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","void run(TestResult result)","junit.extensions.ActiveTestSuite.run(Ljunit/framework/TestResult;)V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","32","5","37","6","0","0","0","0","0","0","0","0","46.0537","6.875","510.338","63.8614","19","15","28.3521","74.2309","119.346","69.7931","96.5811","56.4802","1","0","0","0","2","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","void runTest(Test test, TestResult result)","junit.extensions.ActiveTestSuite.runTest(Ljunit/framework/Test;Ljunit/framework/TestResult;)V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","39","5","54","6","0","0","0","0","0","0","0","0","61.303","8.75","839.197","88.9698","23","18","46.6221","95.9083","118.014","69.014","94.659","55.3561","1","0","0","0","0","0","0","0","0.125","2","6","6","2","2","14","16","5","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","void waitUntilFinished()","junit.extensions.ActiveTestSuite.waitUntilFinished()V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","56","5","64","6","0","0","0","0","0","0","0","0","52.8606","6.5","468","60.2787","18","16","26","72","112.476","65.7756","110.4","64.5616","3","2","2","1","1","0.1","1","0","0.1","1","9","9","4","0","9","9","4","0","0","2","0","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"L191","void runFinished()","junit.extensions.ActiveTestSuite.runFinished()V","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\ActiveTestSuite.java","66","5","69","6","0","0","0","0","0","0","0","0","21.6515","3.5","110.947","23.0893","10","9","6.16374","31.6992","130.339","76.2218","112.441","65.7549","1","0","0","1","0","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"L210","RepeatedTest(Test test, int repeat)","junit.extensions.RepeatedTest.<init>(Ljunit/framework/Test;I)V","L204","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\RepeatedTest.java","12","5","18","6","0","0","0","0","0","0","0","0","68.8127","10.5","1134.51","108.777","25","20","63.0281","108.048","114.667","67.0566","89.9321","52.5919","2","1","1","7","1","0","0","0","0","0","7","7","4","2","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","int countTestCases()","junit.extensions.RepeatedTest.countTestCases()I","L204","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\extensions\RepeatedTest.java","20","5","23","6","0","0","0","0","0","0","0","0","35.2193","5","215.098","35.8997","12","12","11.9499","43.0196","128.751","75.2932","110.15","64.4152","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
