"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0346151","35","135","89","0.021264","0.0286793","972","896","0","0","0","0","0","0.191035","0.193796","7510","797","3375","0","0","0","0","0","0","0","0","0","2","0","0","31242","45711","968","1423","91","8","471","331","42","4329","9420","324","1058","1","41","64","3455","33","0","163","14192","802","3215","102","0","2143","826","0","460","0","412","0","241","0","0","0","28","0","70","0","0","0","0"
"L104","junit","junit","L100","L103","0.0239344","5","7","7","0.0168021","0.0228943","91","81","0","0","0","0","0","0.403315","0.237664","1103","219","324","0","0","0","0","0","0","0","0","0","6","0","0","3538","5416","83","109","22","1","76","27","5","599","1460","10","71","0","5","10","501","20","0","37","1553","75","481","23","0","344","65","0","68","0","42","0","45","0","0","0","21","0","8","0","0","0","0"
"L2977","org","org","L100","L103","0.0359366","33","128","82","0.0218638","0.0294181","881","815","0","0","0","0","0","0.159273","0.187828","6407","578","3051","0","0","0","0","0","0","0","0","0","1","0","0","27704","40295","885","1314","79","7","395","304","37","3730","7960","314","987","1","36","52","2954","13","0","126","12639","727","2734","79","0","1799","761","0","392","0","370","0","196","0","0","0","7","0","62","0","0","0","0"
"L105","extensions","junit.extensions","L104","L103","0","0","0","0","0","0","0","0","0.217391","0.207101","35","5","18","0.217391","0.207101","35","5","18","134","198","3","6","0","1","0","24","0","0","21","1","134","198","3","6","10","0","5","1","0","24","41","0","4","0","0","0","21","1","0","0","62","1","7","0","0","0","1","0","2","0","3","0","0","0","0","0","2","0","0","0","0","0","0"
"L284","framework","junit.framework","L104","L103","0","0","0","0","0","0","0","0","0.823864","0.424187","691","145","31","0.823864","0.424187","691","145","31","938","1855","29","14","0","12","3","190","0","0","166","3","938","1855","29","14","10","0","15","12","3","190","358","0","11","0","3","0","166","3","0","7","165","10","48","19","0","2","22","0","13","0","5","0","9","0","0","0","13","0","1","0","0","0","0"
"L1402","runner","junit.runner","L104","L103","0","0","0","0","0","0","0","0","0.413793","0.192661","63","12","17","0.413793","0.192661","63","12","17","264","376","7","2","0","7","1","38","3","0","26","3","264","376","7","2","10","0","4","7","1","38","115","3","2","0","1","0","26","3","0","12","71","7","23","1","0","16","8","0","5","0","0","0","6","0","0","0","5","0","2","0","0","0","0"
"L1638","textui","junit.textui","L104","L103","0","0","0","0","0","0","0","0","0.521739","0.250847","74","12","11","0.521739","0.250847","74","12","11","221","348","6","2","0","1","0","35","3","0","21","1","221","348","6","2","10","0","3","1","0","35","104","3","2","0","0","0","21","1","0","8","54","11","16","1","0","13","6","0","7","0","4","0","3","0","0","0","1","0","1","0","0","0","0"
"L1814","samples","junit.samples","L104","L103","0.0628386","2","2","2","0","0","0","0","0.1875","0.246377","34","3","13","0.207792","0.195122","104","16","61","104","165","5","3","0","0","0","15","1","1","13","2","429","634","14","6","11","0","9","0","1","78","200","1","6","0","1","1","70","3","0","3","184","6","77","2","0","59","9","0","13","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"L2099","tests","junit.tests","L104","L103","0.0353741","3","5","5","0","0","0","0","0.333333","0.175676","13","3","6","0.134884","0.0805687","136","29","186","61","94","1","6","0","0","0","10","1","3","6","1","1552","2005","24","79","13","1","40","6","0","234","642","3","46","0","0","3","197","9","0","7","1017","40","310","0","0","254","19","0","28","0","30","0","22","0","0","0","0","0","4","0","0","0","0"
"L2978","junit","org.junit","L2977","L103","0.0359366","33","128","82","0","0","0","0","0.857143","0.614181","1256","90","15","0.159273","0.187828","6407","578","3051","789","2245","24","11","0","3","0","127","4","10","98","0","27704","40295","885","1314","79","7","395","304","37","3730","7960","314","987","1","36","51","2954","13","0","126","12639","727","2734","79","0","1799","761","0","392","0","370","0","196","0","0","0","7","0","62","0","0","0","0"
