  [2022-04-02 17:17:08] Starting task:          DirectoryBasedAnalysisTask
  [2022-04-02 17:19:56] Task ended (+00:02:48): DirectoryBasedAnalysisTask     Result:OK
  [2022-04-02 17:19:56] Starting task:          JANFilterTask
  [2022-04-02 17:20:00] Task ended (+00:00:04): JANFilterTask                  Result:OK
  [2022-04-02 17:20:00] Starting task:          JAN2limTask
  [2022-04-02 17:20:35] Task ended (+00:00:35): JAN2limTask                    Result:OK
  [2022-04-02 17:20:35] Starting task:          DcfTask
  [2022-04-02 17:20:35] Starting task:          Lim2metricsTask
  [2022-04-02 17:20:44] Task ended (+00:00:09): Lim2metricsTask                Result:OK
  [2022-04-02 17:20:44] Starting task:          ProfileTask
  [2022-04-02 17:20:46] Task ended (+00:00:02): ProfileTask                    Result:OK
  [2022-04-02 17:20:46] Starting task:          AndroidHunterTask
  [2022-04-02 17:20:48] Task ended (+00:00:02): AndroidHunterTask              Result:OK
  [2022-04-02 17:20:48] Starting task:          VulnerabilityHunterTask
  [2022-04-02 17:20:50] Task ended (+00:00:02): VulnerabilityHunterTask        Result:OK
  [2022-04-02 17:20:50] Starting task:          FaultHunterTask
  [2022-04-02 17:20:53] Task ended (+00:00:03): FaultHunterTask                Result:OK
  [2022-04-02 17:20:53] Starting task:          RTEHunterTask
  [2022-04-02 17:20:55] Task ended (+00:00:02): RTEHunterTask                  Result:OK
  [2022-04-02 17:20:55] Starting task:          FindBugsTask
  [2022-04-02 17:21:13] Task ended (+00:00:38): DcfTask                        Result:OK
  [2022-04-02 17:21:13] Starting task:          PMD2GraphTask
  [2022-04-02 17:21:14] Task ended (+00:00:19): FindBugsTask                   Result:OK
  [2022-04-02 17:21:18] Task ended (+00:00:05): PMD2GraphTask                  Result:OK
  [2022-04-02 17:21:18] Starting task:          GraphMergeTask
  [2022-04-02 17:21:28] Task ended (+00:00:10): GraphMergeTask                 Result:OK
  [2022-04-02 17:21:28] Starting task:          MetricHunterTask
  [2022-04-02 17:22:14] Task ended (+00:00:46): MetricHunterTask               Result:OK
  [2022-04-02 18:55:50] Starting task:          UserDefinedMetricsTask
  [2022-04-02 18:55:50] Task ended (+00:00:00): UserDefinedMetricsTask         Result:OK
  [2022-04-02 18:55:50] Starting task:          LIM2PatternsTask
  [2022-04-02 18:55:58] Task ended (+00:00:08): LIM2PatternsTask               Result:OK
  [2022-04-02 18:55:58] Starting task:          AddLicenceTask
  [2022-04-02 18:56:00] Task ended (+00:00:02): AddLicenceTask                 Result:OK
  [2022-04-02 18:56:00] Starting task:          GraphDumpTask
  [2022-04-02 18:56:45] Task ended (+00:00:45): GraphDumpTask                  Result:OK
Done!
